,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,Man-Down G,GB,TO,CT,FO Won,FOs Taken,Pen,Pen Time,G Min,Goals Allowed,Saves,W,L,T,RC,YC,Clears,Att,Clear Pct,OTG,Opp_G,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_Man-Down G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Pen Time,Opp_G Min,Opp_Goals Allowed,Opp_Saves,Opp_W,Opp_L,Opp_T,Opp_RC,Opp_YC,Opp_Clears,Opp_Att,Opp_Clear Pct,Opp_OTG,Year
0,02/03/2018,Air Force,@ Duke,4-18,1,4,1,5,26,14,1,,23,13,2,16,26,1,30,"3,600",18,9,,,,,,10,15,0.667,,1,18,12,30,38,27,1,,32,7,9,10,26,5,240,"3,600",4,10,,,,,,17,18,0.944,,2018
1,02/10/2018,Air Force,Denver,5-11,1,5,2,7,31,14,1,,14,14,3,9,18,2,120,"3,600",11,12,,,,,,12,15,0.800,,1,11,8,19,33,23,1,,24,5,3,9,18,1,60,"3,600",5,9,,,,,,20,20,1.000/,,2018
2,02/17/2018,Air Force,@ Marist,8-7,1,8,4,12,42,21,,,23,9,4,12,19,3,150,"3,600",7,8,,,,,,12,13,0.923,,1,7,5,12,22,15,,,12,9,4,7,19,4,210,"3,600",8,13,,,,,,11,12,0.917,,2018
3,02/23/2018,Air Force,Cleveland St.,7-8,1,7,2,9,30,19,,,21,14,7,11,17,2,90,"3,600",8,9,,,,,,26/,28/,0.929,,1,8,5,13,30,17,1,,14,11,3,6,17,1,30,"3,600",7,12,,,,,,24,24,1.000,,2018
4,03/03/2018,Air Force,Boston U.,9-15,1,9,4,13,28,20,1,,18,13,3,16,28,6,360,"3,600",15,10,,,,,,9,13,0.692,,1,15,11,26,43,25,5/,,29,8,3,12,28,3,180,"3,600",9,11,,,,,,12,14,0.857,,2018
5,03/09/2018,Air Force,@ Michigan,9-14,1,9,4,13,25,16,1,,26,16,6,14,26,3,150,"3,600",14,6,,,,,,8,12,0.667,,1,14,6,20,37,20,1,,24,13,12/,12,26,4,210,"3,600",9,7,,,,,,9,13,0.692,,2018
6,03/11/2018,Air Force,@ Detroit Mercy,9-7,1,9,2,11,33,20,1,,27,9,6,5,18,4,210,"3,600",7,13,,,,,,17,17,1.000/,,1,7,3,10,35,20,1,,28,16,8,13,18,3,180,"3,600",9,11,,,,,,12,15,0.800,,2018
7,03/17/2018,Air Force,VMI,11-6,1,11,6,17,44,23,,,27,12,8,16,20,3,150,"3,600",6,2,,,,,,13,14,0.929,,1,6,3,9,16,8,1,,21,14,5,4,20,2,90,"3,600",11,12,,,,,,15,16,0.938,,2018
8,03/24/2018,Air Force,Mercer,7-9,1,7,6,13,33,19,,,26,16,7,11,20,5,210,"3,600",9,9,,,,,,17,19,0.895,,1,9,6,15,29,18,3,,22,13,8,9,20,1,60,"3,600",7,12,,,,,,14,18,0.778,,2018
9,03/27/2018,Air Force,@ Cornell,5-23,1,5,2,7,19,11,1,,18,15,4,10,31,2,90,"3,600",23/,7,,,,,,9,17,0.529,,1,23,17,40,37,30,1,,35,8,7,21,31,3,90,"3,600",5,6,,,,,,14,15,0.933,,2018
