,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,Man-Down G,GB,TO,CT,FO Won,FOs Taken,Pen,Pen Time,G Min,Goals Allowed,Saves,W,L,T,RC,YC,Clears,Att,Clear Pct,OTG,Opp_G,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_Man-Down G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Pen Time,Opp_G Min,Opp_Goals Allowed,Opp_Saves,Opp_W,Opp_L,Opp_T,Opp_RC,Opp_YC,Opp_Clears,Opp_Att,Opp_Clear Pct,Opp_OTG,Year
0,02/09/2019,Air Force,@ Denver,4-11,1,4,3,7,25,14,,,22,16,8,4,19,6,300,60:00,11,17,,,,,,19,24,0.792,,1,11,8,19,49,28,,,31,15,7,15,19,3,180,60:00,4,10,,,,,,17,23,0.739,,2019
1,02/16/2019,Air Force,Marist,12-6,1,12,7,19,43,21,,1/,25,19,6,11,22,6,330,60:00,6,6,,,,,,16,16,1.000/,,1,6,5,11,22,12,,,20,24,3,11,22,4,180,60:00,12,9,,,,,,11,17,0.647,,2019
2,02/23/2019,Air Force,"Cleveland St.
@ Denver, Colo.",11-8,1,11,7,18,37,22,,,33,20,8,16,22,6,300,60:00,8,6,,,,,,16,23,0.696,,1,8,4,12,25,14,1,,23,20,8,6,22,2,120,60:00,11,11,,,,,,18,24,0.750,,2019
3,02/24/2019,Air Force,Utah,5-6,1,5,4,9,41,19,1,,37,23,9,9,14,3,120,60:00,6,5,,,,,,12,15,0.800,,1,6,3,9,19,11,2,,23,28,7,5,14,3,150,60:00,5,14,,,,,,18,23,0.783,,2019
4,03/02/2019,Air Force,@ Canisius,13-7,1,13,5,18,40,22,1,,39,18,13,14,23,5,270,60:00,7,8,,,,,,15,17,0.882,,1,7,3,10,25,15,2,,24,22,6,9,23,3,120,60:00,13,9,,,,,,15,21,0.714,,2019
5,03/06/2019,Air Force,Detroit Mercy,19-9,1,19,13,32,49,29,2,,39,22,8,18,31,7,390,60:00,9,7,,,,,,16,19,0.842,,1,9,7,16,28,16,3,,24,21,7,13,31,2,120,60:00,19,10,,,,,,11,16,0.688,,2019
6,03/16/2019,Air Force,@ Mercer,20-8,1,20,14,34,40,29,2,,39,14,10,19,32,2,120,60:00,8,9,,,,,,21,23,0.913,,1,8,5,13,41,17,1,,35,21,4,13,32,5,270,60:00,20,9,,,,,,12,15,0.800,,2019
7,03/23/2019,Air Force,@ Furman,11-7,1,11,6,17,37,22,,,36,21,10,16,21,2,60,60:00,7,9,,,,,,21,25,0.840,,1,7,4,11,31,16,,,24,20,9,5,21,,,60:00,11,11,,,,,,20,26,0.769,,2019
8,03/26/2019,Air Force,@ Yale,6-13,1,6,5,11,25,17,2,,19,15,8,3,23,10/,480,60:00,13,19,,,,,,15,24,0.625,,1,13,7,20,52,32,4,,36,18,7,20,23,2,90,60:00,6,11,,,,,,19,20,0.950,,2019
9,03/30/2019,Air Force,Jacksonville,14-7,1,14,5,19,45,28,2,,43,15,10,21,24,3,150,60:00,7,8,,,,,,8,11,0.727,,1,7,4,11,31,15,1,,23,21,8,3,24,4,210,60:00,14,14,,,,,,15,19,0.789,,2019
