,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,GB,TO,CT,FO Won,FOs Taken,Pen,Goals Allowed,Saves,W,L,Clear Pct,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Saves,Opp_Clear Pct,Year,Home,Away,Location,OT
0,02032018,air force, duke,4-18,1,4,1,5,26,14,1,23,13,2,16,26,1,18,9,0,1,0.667,18,12,30,38,27,1,32,7,9,10,26,5,10,0.944,2018,0.0,1.0,Duke,0.0
1,02102018,air force,denver,5-11,1,5,2,7,31,14,1,14,14,3,9,18,2,11,12,0,1,0.8,11,8,19,33,23,1,24,5,3,9,18,1,9,1.000,2018,1.0,0.0,Air Force,0.0
2,02172018,air force, marist,8-7,1,8,4,12,42,21,0,23,9,4,12,19,3,7,8,1,0,0.923,7,5,12,22,15,0,12,9,4,7,19,4,13,0.917,2018,0.0,1.0,Marist,0.0
3,02232018,air force,cleveland st,7-8,1,7,2,9,30,19,0,21,14,7,11,17,2,8,9,0,1,0.929,8,5,13,30,17,1,14,11,3,6,17,1,12,1.000,2018,1.0,0.0,Air Force,0.0
4,03032018,air force,boston u,9-15,1,9,4,13,28,20,1,18,13,3,16,28,6,15,10,0,1,0.692,15,11,26,43,25,5,29,8,3,12,28,3,11,0.857,2018,1.0,0.0,Air Force,0.0
5,03092018,air force, michigan,9-14,1,9,4,13,25,16,1,26,16,6,14,26,3,14,6,0,1,0.667,14,6,20,37,20,1,24,13,12,12,26,4,7,0.692,2018,0.0,1.0,Michigan,0.0
6,03112018,air force, detroit mercy,9-7,1,9,2,11,33,20,1,27,9,6,5,18,4,7,13,1,0,1.0,7,3,10,35,20,1,28,16,8,13,18,3,11,0.800,2018,0.0,1.0,Detroit Mercy,0.0
7,03172018,air force,vmi,11-6,1,11,6,17,44,23,0,27,12,8,16,20,3,6,2,1,0,0.929,6,3,9,16,8,1,21,14,5,4,20,2,12,0.938,2018,1.0,0.0,Air Force,0.0
8,03242018,air force,mercer,7-9,1,7,6,13,33,19,0,26,16,7,11,20,5,9,9,0,1,0.895,9,6,15,29,18,3,22,13,8,9,20,1,12,0.778,2018,1.0,0.0,Air Force,0.0
9,03272018,air force, cornell,5-23,1,5,2,7,19,11,1,18,15,4,10,31,2,23,7,0,1,0.529,23,17,40,37,30,1,35,8,7,21,31,3,6,0.933,2018,0.0,1.0,Cornell,0.0
10,03312018,air force, bellarmine,9-7,1,9,5,14,31,21,0,14,9,3,11,19,4,7,6,1,0,0.909,7,5,12,23,13,1,14,13,6,8,19,0,12,0.583,2018,0.0,1.0,Bellarmine,0.0
11,04072018,air force, jacksonville,12-13,1,12,6,18,28,20,1,17,12,8,9,28,4,13,8,0,1,0.824,13,6,19,34,21,1,32,13,9,19,28,2,8,0.647,2018,0.0,1.0,Jacksonville,0.0
12,04142018,air force,furman,11-3,1,11,5,16,33,22,1,23,11,5,15,17,1,3,8,1,0,0.769,3,1,4,16,11,0,12,10,5,2,17,3,11,0.867,2018,1.0,0.0,Air Force,0.0
13,04212018,air force,high point,6-7,1,6,4,10,37,15,0,18,10,6,6,16,2,7,9,0,1,0.923,7,3,10,27,16,2,22,10,4,10,16,1,9,1.000,2018,1.0,0.0,Air Force,0.0
14,04282018,air force, richmond,6-12,1,6,0,6,26,12,1,16,11,4,9,20,6,12,10,0,1,0.846,12,8,20,32,22,3,20,10,6,11,20,3,6,0.941,2018,0.0,1.0,Richmond,0.0
15,02102018,army west point,massachusetts,18-6,1,18,11,29,43,33,4,28,9,5,9,25,3,6,11,1,0,0.818,6,2,8,28,17,0,26,14,5,16,25,7,15,0.750,2018,1.0,0.0,Army West Point,0.0
16,02132018,army west point,njit,14-5,1,14,7,21,49,30,2,44,16,14,20,23,2,5,2,1,0,0.9,5,4,9,10,7,0,23,26,8,3,23,3,16,0.714,2018,1.0,0.0,Army West Point,0.0
17,02172018,army west point,rutgers,9-7,1,9,5,14,40,23,0,28,10,7,11,20,3,7,6,1,0,0.867,7,5,12,32,13,0,18,12,2,9,20,4,14,0.875,2018,1.0,0.0,Army West Point,0.0
18,02242018,army west point, syracuse,10-11 ,1,10,6,16,32,18,3,33,18,8,17,26,2,11,7,0,1,0.857,11,6,17,32,18,1,25,12,11,9,26,5,8,0.708,2018,0.0,1.0,Syracuse,1.0
19,03032018,army west point, lafayette,13-4,1,13,6,19,43,26,0,38,16,11,11,21,1,4,10,1,0,0.833,4,2,6,25,14,0,31,19,10,10,21,2,13,0.652,2018,0.0,1.0,Lafayette,0.0
