,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,GB,TO,CT,FO Won,FOs Taken,Pen,Goals Allowed,Saves,W,L,Clear Pct,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Saves,Opp_Clear Pct,Year,Home,Away,Location,OT,Distance Traveled
0,02092019,air force, denver,4-11,1,4,3,7,25,14,0,22,16,8,4,19,6,11,17,0,1,0.792,11,8,19,49,28,0,31,15,7,15,19,3,10,0.739,2019,0.0,1.0,Denver,0.0,46.069481293953004
1,02162019,air force,marist,12-6,1,12,7,19,43,21,0,25,19,6,11,22,6,6,6,1,0,1.0,6,5,11,22,12,0,20,24,3,11,22,4,9,0.647,2019,1.0,0.0,Air Force,0.0,0.0
2,02232019,air force,cleveland st,11-8,1,11,7,18,37,22,0,33,20,8,16,22,6,8,6,1,0,0.696,8,4,12,25,14,1,23,20,8,6,22,2,11,0.750,2019,0.0,1.0,Denver Colo,0.0,46.069481293953004
3,02242019,air force,utah,5-6,1,5,4,9,41,19,1,37,23,9,9,14,3,6,5,0,1,0.8,6,3,9,19,11,2,23,28,7,5,14,3,14,0.783,2019,1.0,0.0,Air Force,0.0,0.0
4,03022019,air force, canisius,13-7,1,13,5,18,40,22,1,39,18,13,14,23,5,7,8,1,0,0.882,7,3,10,25,15,2,24,22,6,9,23,3,9,0.714,2019,0.0,1.0,Canisius,0.0,
5,03062019,air force,detroit mercy,19-9,1,19,13,32,49,29,2,39,22,8,18,31,7,9,7,1,0,0.842,9,7,16,28,16,3,24,21,7,13,31,2,10,0.688,2019,1.0,0.0,Air Force,0.0,0.0
6,03162019,air force, mercer,20-8,1,20,14,34,40,29,2,39,14,10,19,32,2,8,9,1,0,0.913,8,5,13,41,17,1,35,21,4,13,32,5,9,0.800,2019,0.0,1.0,Mercer,0.0,1261.2873806742289
7,03232019,air force, furman,11-7,1,11,6,17,37,22,0,36,21,10,16,21,2,7,9,1,0,0.84,7,4,11,31,16,0,24,20,9,5,21,0,11,0.769,2019,0.0,1.0,Furman,0.0,1270.1517780965466
8,03262019,air force, yale,6-13,1,6,5,11,25,17,2,19,15,8,3,23,10,13,19,0,1,0.625,13,7,20,52,32,4,36,18,7,20,23,2,11,0.950,2019,0.0,1.0,Yale,0.0,1686.7311894197078
9,03302019,air force,jacksonville,14-7,1,14,5,19,45,28,2,43,15,10,21,24,3,7,8,1,0,0.727,7,4,11,31,15,1,23,21,8,3,24,4,14,0.789,2019,1.0,0.0,Air Force,0.0,0.0
