,Institution,Conference,G,Goals,Assists,Points,Shots,SOG,Man-Up G,Man-Down G,GB,TO,CT,FO Won,FOs Taken,Pen,Pen Time,G Min,Goals Allowed,Saves,RC,YC,Clears,Att,Clear Pct,OTG,Year
0,Air Force,SoCon,15,169,100,269,604,340,19,2,509,270,139,211,339,70,"3,630",900:00,120,128,,,230,280,0.821,,2019
1,Army West Point,Patriot,18,200,125,325,721,416,10,2,552,276,155,138,421,64,"2,880",1081:52,155,211,,,345,405,0.852,2,2019
2,Bellarmine,SoCon,13,135,82,217,480,269,10,1,342,232,90,148,357,42,"2,400",782:43,172,179,,,243,291,0.835,,2019
3,Binghamton,America East,13,106,65,171,446,268,8,1,334,242,120,133,316,52,"2,430",780:00,169,176,,,225,282,0.798,,2019
4,Boston U.,Patriot,17,214,145,359,765,422,23,4,647,324,199,245,446,69,"3,360",1030:15,171,209,,,317,394,0.805,,2019
5,Brown,Ivy League,16,193,115,308,677,402,23,1,547,299,115,218,426,62,"3,150",973:46,185,185,,,292,357,0.818,1,2019
6,Bryant,NEC,14,127,66,193,490,276,11,,433,246,98,175,326,37,"1,710",842:28,151,178,,,220,280,0.786,,2019
7,Bucknell,Patriot,15,150,88,238,580,335,18,,503,262,150,171,364,49,"1,950",900:00,162,190,,,266,323,0.824,,2019
8,Canisius,MAAC,16,169,83,252,544,310,24,,444,298,114,186,386,38,"1,980",958:48,163,185,,,261,326,0.801,,2019
9,Cleveland St.,DI Independent,15,172,113,285,603,349,20,1,489,297,134,239,379,61,"3,030",900:00,154,146,,,244,286,0.853,,2019
10,Colgate,Patriot,13,118,70,188,473,286,16,,359,214,90,145,304,47,"2,130",780:00,145,133,,,199,250,0.796,,2019
11,Cornell,Ivy League,15,214,134,348,582,378,18,1,487,238,148,171,445,72,"3,390",900:00,181,198,,,249,292,0.853,,2019
12,Dartmouth,Ivy League,13,101,55,156,425,239,10,,378,249,128,93,308,64,"3,090",780:00,165,186,,,222,289,0.768,,2019
13,Delaware,CAA,15,175,95,270,614,361,17,1,433,229,130,142,373,54,"2,910",900:00,149,205,,,300,339,0.885,,2019
14,Denver,Big East,15,181,103,284,640,369,10,,497,220,147,219,374,43,"2,070",899:13,140,126,,,241,292,0.825,,2019
15,Detroit Mercy,MAAC,15,157,92,249,555,330,22,1,482,318,120,223,381,71,"4,050",900:00,179,191,,,257,319,0.806,,2019
