,Id,Institution,Conference,Games,Goals,Assists,Points,Shots,SOG,Man-Up G,GB,TO,CT,FO Pct,Pen,Goals Allowed,Saves,Clear Pct,Year
0,314,air force,SoCon,15,169,100,269,604,340,19,509,270,139,63.0,70,120,128,0.821,2019
1,875,army west point,Patriot,18,200,125,325,721,416,10,552,276,155,33.0,64,155,211,0.852,2019
2,885,bellarmine,SoCon,13,135,82,217,480,269,10,342,232,90,42.0,42,172,179,0.835,2019
3,94,binghamton,America East,13,106,65,171,446,268,8,334,242,120,43.0,52,169,176,0.798,2019
4,169,boston u,Patriot,17,214,145,359,765,422,23,647,324,199,56.0,69,171,209,0.805,2019
5,756,brown,Ivy League,16,193,115,308,677,402,23,547,299,115,52.0,62,185,185,0.818,2019
6,639,bryant,NEC,14,127,66,193,490,276,11,433,246,98,54.0,37,151,178,0.786,2019
7,37,bucknell,Patriot,15,150,88,238,580,335,18,503,262,150,47.0,49,162,190,0.824,2019
8,675,canisius,MAAC,16,169,83,252,544,310,24,444,298,114,49.0,38,163,185,0.801,2019
9,115,cleveland st,DI Independent,15,172,113,285,603,349,20,489,297,134,64.0,61,154,146,0.853,2019
10,620,colgate,Patriot,13,118,70,188,473,286,16,359,214,90,48.0,47,145,133,0.796,2019
11,443,cornell,Ivy League,15,214,134,348,582,378,18,487,238,148,39.0,72,181,198,0.853,2019
12,114,dartmouth,Ivy League,13,101,55,156,425,239,10,378,249,128,31.0,64,165,186,0.768,2019
13,825,delaware,CAA,15,175,95,270,614,361,17,433,229,130,39.0,54,149,205,0.885,2019
14,578,denver,Big East,15,181,103,284,640,369,10,497,220,147,59.0,43,140,126,0.825,2019
15,137,detroit mercy,MAAC,15,157,92,249,555,330,22,482,318,120,59.0,71,179,191,0.806,2019
16,561,drexel,CAA,15,199,104,303,631,389,39,518,268,111,57.0,64,187,144,0.865,2019
17,850,duke,ACC,18,220,122,342,711,457,20,591,272,134,51.0,61,173,179,0.833,2019
18,88,fairfield,CAA,14,141,101,242,551,333,10,417,222,103,47.0,45,189,160,0.771,2019
19,884,furman,SoCon,14,163,92,255,512,331,13,435,238,140,38.0,54,178,190,0.799,2019
20,224,georgetown,Big East,18,254,155,409,750,465,18,598,246,155,47.0,53,200,224,0.869,2019
21,462,hampton,DI Independent,11,134,84,218,489,300,9,456,265,123,69.0,59,152,125,0.753,2019
22,355,hartford,America East,15,169,100,269,550,346,26,446,220,95,48.0,67,208,171,0.848,2019
23,531,harvard,Ivy League,13,156,94,250,534,323,21,460,246,114,43.0,54,190,196,0.797,2019
24,190,high point,SoCon,16,232,122,354,683,403,16,603,338,162,58.0,67,177,209,0.879,2019
25,571,hobart,NEC,16,223,148,371,817,467,25,567,247,100,62.0,57,179,181,0.85,2019
26,678,hofstra,CAA,14,126,56,182,527,307,16,417,223,85,56.0,77,144,155,0.881,2019
27,14,holy cross,Patriot,14,141,82,223,604,321,14,494,266,155,64.0,48,138,131,0.798,2019
